Subject,Chapter_Name,Category,Question_Text,Answer_or_Hint,,
BK,Chapter 1 : Partnership Final Accounts,Extra_Practical,"Sun and Moon are partners in a partnership firm, sharing Profits and Losses equally. From the following Trail Balance and adjustment given below, you are required to prepare Trading and Profit and Loss A/c for the year ended 31st March 2023 and Balance Sheet as on that date: ",,,
,,,Trial Balance as on 31.03.2023,,,
,,,Particulars | Debit ₹ | Credit ₹,,,
,,,Purchases  | 550000 | ,,,
,,,Sundry Debtors  | 112500 | ,,,
,,,Discount  | 10000 | ,,,
,,,Opening Stock  | 62500 | ,,,
,,,Wages and Salaries  | 57500 | ,,,
,,,Manufacturing Expenses  | 63750 | ,,,
,,,Factory Building  | 437500 | ,,,
,,,Plant and Machinery  | 187500 | ,,,
,,,Advertisement (for 2 years w.e.f.(01-01-2023) | 25000 | ,,,
,,,Salary and Wages  | 112500 | ,,,
,,,Cash in Hand  | 37500 | ,,,
,,,10% Govt. Bonds (Purchased on 01.07.2012) | 150000 | ,,,
,,,Warehouse Rend  | 15000 | ,,,
,,,Partner’s Capital - Sun |  | 300000,,,
,,,Partner’s Capital - Moon |  | 225000,,,
,,,Sales  |  | 1075000,,,
,,,Sundry Creditors  |  | 212500,,,
,,,Discount |  | 8750,,,
,,,TOTAL | 1821250 | 1821250,,,
,,,Adjustments:,,,
,,,"1. Closing stock was valued at market price at ₹.184,000, which is 15% above its cost price.",,,
,,,2. Depreciate Plant and Machinery at 10% p.a.,,,
,,,"3. Outstanding wages were ₹.5,000. ",,,
,,,4. Maintain  R.D.D. at 5% on sundry debtors,,,
BK,Chapter 1 : Partnership Final Accounts,Extra_Practical,"Anand and Pramod are partners sharing profits and losses in the ratio of 3 : 2 respectivedly. From the following Trial Balance and adjustments, you are required to prepare a Trading and Profit and Loss Account for the year ended 31st March, 2020 and Balance Sheet as on that date: ",,,
,,,"Trial Balance as on 31st March, 2020 ",,,
,,,Particulars | Debit ₹ | Credit ₹,,,
,,,Opening Stock  | 41500 | ,,,
,,,Salary  | 6500 | ,,,
,,,Purchases  | 98500 | ,,,
,,,Wages  | 3750 | ,,,
,,,Audit fees  | 4250 | ,,,
,,,Motive power  | 7500 | ,,,
,,,Investments  | 28000 | ,,,
,,,Bad debts  | 3200 | ,,,
,,,Loose tools  | 8500 | ,,,
,,,Carriage   | 3500 | ,,,
,,,Interest  | 2000 | ,,,
,,,Motor Van  | 44000 | ,,,
,,,Buildings  | 75000 | ,,,
,,,Debtors  | 48000 | ,,,
,,,Cash at Bank  | 22000 | ,,,
,,,Machinery  | 30000 | ,,,
,,,Drawing Account : Anand  | 6000 | ,,,
,,,Drawing Account : Pramod | 4000 | ,,,
,,,Capital Accounts : Anand  |  | 81000,,,
,,,Capital Accounts : Pramod |  | 54000,,,
,,,Current Accounts : Anand  | 0 | 8100,,,
,,,Current Accounts : Pramod | 0 | 5400,,,
,,,Sundry Creditors  | 0 | 49500,,,
,,,Sales  | 0 | 210000,,,
,,,Bank Overdraft |  | 28200,,,
,,,TOTAL | 436200 | 436200,,,
,,,Adjustments: ,,,
,,,"1. Stock on hand on 31st March, 2020, was valued at ₹. 38,000",,,
,,,2. Investment on partner’s capital @ 5% p.a. is allowed while interest on drawings in charged @ 3% p.a. ,,,
,,,"3. Motive power include ₹.1,750 paid a deposit for power meter.",,,
,,,"4. Depreciate Machinery @12.5%, Motor van @ 7.5% and Loose Tools @ 10%.",,,
,,,"5. Outstanding expenses were : Salary ₹.1,500, Audit fees ₹.1,750.",,,
,,,"6. Wages include ₹.1,250 as advance to workers.",,,
BK,Chapter 1 : Partnership Final Accounts,Extra_Practical,"Following is the Trial Balance of Gold and Silver as on 31st March, 2020 who share Profits and Losses in the ration of 3 : 2.",,,
,,,"Trial Balance as on 31st March, 2020.",,,
,,,Particulars | Debit ₹ | Credit ₹,,,
,,,Goodwill   | 10000 | ,,,
,,,Plant and Machinery  | 40000 | ,,,
,,,Patents   | 5000 | ,,,
,,,Carriage  | 4300 | ,,,
,,,Postage and Telegram  | 700 | ,,,
,,,Power and Fuel  | 3000 | ,,,
,,,Debtors  | 12000 | ,,,
,,,Trade Expenses  | 300 | ,,,
,,,Advertisement  | 1500 | ,,,
,,,Furniture   | 7100 | ,,,
,,,Wages  | 14000 | ,,,
,,,Purchases  | 29500 | ,,,
,,,Stock   | 10400 | ,,,
,,,Printing and Stationery  | 2600 | ,,,
,,,Interest on Bank Loan  | 1500 | ,,,
,,,Land and Building   | 53300 | ,,,
,,,Discount  | 400 | ,,,
,,,Cash in Hand | 500 | ,,,
,,,15% Bank Loan (Taken on 1-10-2020)  |  | 30000,,,
,,,Capital A/cs: Gold |  | 40000,,,
,,,Capital A/cs: Silver | 0 | 30000,,,
,,,Creditors  | 0 | 20500,,,
,,,Commission  | 0 | 400,,,
,,,Sales  | 0 | 75200,,,
,,,TOTAL | 196100 | 196100,,,
,,,Advertisements:,,,
,,,"1. Closing stock on 31st March, 2020 was valued at ₹.12,000.",,,
,,,2. Depreciate Plant and Machinery at 10% and Furniture by ₹. 400.,,,
,,,"3. Outstanding Wages ₹. 1,000.",,,
,,,4. Goods taken by Girish for his personal use ₹. 500. No entry has been passed in the books.,,,
,,,5. Goods of ₹. 1000 distributed as free samples.,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What is fluctuating capital?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,Why is Partnership Deed necessary?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"If the Partnership Deed is silent, in which ratio the partners will share the profit or loss?",,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What is the Fixed Capital Method?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,How many partners are required to form a Partnership Firm?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What is Partnership Deed?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What are the objectives of the Partnership firm?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What rate of interest is allowed on partner's loan in the absence of an agreement?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"What is the minimum number of Partners in a Partnership firm according to Indian Partneship Act, 1932.",,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What is liability of a partner?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,In the absence of Partnership Deed what is the rate of interest on loan advanced by partner to the firm is allowed?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What do you mean by pre-received income?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What is the effect of the adjustment of provision for discount on debtors in the final accounts of partnership?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,When is partners Current Account opened ?  ,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,As per which principle of accounting closing stock is valued at cost price or at market price which ever is less?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What is the provision of Indian Partnership Act with regard to Interest on capital ?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,Why is Balance Sheet prepared?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,Why wages paid for installation of Machinery are not shown in Trading Account?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What do you mean by indirect incomes?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,Why partners capital is treated as long term liability of business?,,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"Undervaluation of Closing Stock  by 10%. Closing Stock was ₹ 30,000 find out the value of Closing Stock ",,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"Calculate 12.5% P. A.depreciation on Furniture 
a) on ₹ 220,000 for 1 year
b) on ₹ 10,000 for 6 months",,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"Insurance Premium is paid for the year ending 1st September 2019 Amounted to ₹ 1,500. Calculate prepaid insurance assuming that the year ending is 31st March 2019.",,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"Find out Gross profit / Gross Loss Purchases ₹ 30,000, Sales ₹ 15,000, Carriage Inward ₹ 2,400, Opening Stock ₹ 10,000, Purchase Returns ₹1,000, Closing Stock ₹ 36,000. ",,,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"Borrowed Loan from Bank of Maharashtra ₹ 2,00,000 on 1st October 2019 at rate of 15% p.a. Calculate Interest on Bank Loan for the year 2019-20 assuming that the financial year ends on 31st March, every year",,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Extra_Practical,"From the following Receipts and Payments Account for the year 2023-24 and the undernoted adjustments, prepare the Income and Expenditure account and a Balance sheet as on 31st March, 2024.",,,
,,,Receipts,Amount ₹,Payments,Amount ₹
,,,To cash introduced  | 80000 | ,,,
,,,To dispensary Fees  | 58000 | ,,,
,,,To Visit Fees  | 22000 | ,,,
,,,To Sundry Receipts  | 13200 | ,,,
,,,To Sale of Old Papers   | 600 | ,,,
,,,By Rent  |  | 15600,,,
,,,By Salaries  |  | 12400,,,
,,,By Stationery  |  | 4200,,,
,,,By Postage & Courier Charges  |  | 800,,,
,,,By Drugs  |  | 24000,,,
,,,By Drawings  |  | 12000,,,
,,,By Medical Equipments  |  | 30000,,,
,,,By Subscription to Journals and Periodicals |  | 2400,,,
,,,By Electricity Charges  |  | 2200,,,
,,,By travelling Expenses  |  | 9000,,,
,,,By Insurance  |  | 7200,,,
,,,By Charity  |  | 4000,,,
,,,By Balance c/d |  | 50000,,,
,,,TOTAL | 173800 | 173800,,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Exercise_Problems,Following is the Receipts and Payments Account of “Satara Sports Club” Satara Prepare Income and Expenditure Account for the year ending 31.03.2019.,"Ans. : Surplus Amount ₹ 5,900",,
,,,Receipts and Payments Account for the year ending 31.03.2019.,,,
,,,Receipts | Amount ₹ | Amount ₹ | Payments | Amount ₹|Amount ₹,,,
,,,To Balance b/d | 0 | 0 | By Salaries | 0|5000,,,
,,,"Cash in hand | 4500 | 0 | By Rent (Including ₹ 2,000 for 2017 - 18) | 0|5000",,,
,,,Cash at Bank | 12000 | 16500 | By Electricity Charges | 0|1450,,,
,,,To Subscription | 0 | 0 | By Fixed Deposit | 0|60000,,,
,,,2017-18 | 4000 | 0 | By Printing and Stationery | 0|750,,,
,,,2018-19 | 44500 | 0 | By General Expenses (Including ₹ 500 paid for next year) | 0|5500,,,
,,,2019-20 | 3500 | 52000 | By Sports Material Purchased | 0|40000,,,
,,,To Entrance fees | 0 | 8000 | By Balance c/d | 0|0,,,
,,,To Donation for Building fund | 0 | 70000 | Cash in hand | 8900|0,,,
,,,To Interest | 0 | 600 | Cash at Bank | 25000|33900,,,
,,,To Sale of furniture (Book Value ₹ 8000) | 0 | 4500 |  | 0|0,,,
,,, | 0 | 151600 |  | 0|151600,,,
,,,Adjustments :,,,
,,,"1. Outstanding Subscription for Current Year is ₹ 4,500",,,
,,,"2. Outstanding Rent for Current Year amounted to ₹ 1,000",,,
,,,3. Entrance Fees are to be treated as Revenue Income,,,
,,,"4. Stock of Sports Material as on 01.04.2018 ₹ 6,000 and on 31.03.2019 ₹ 14,000",,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Exercise_Problems,"“Bhartiya Kala Kendra”, Solapur gives you thefollowing information, for the year ended on 31.03.2018 Prepare Income and Expenditure Account for the year ending 31.03.2018","Ans. : Surplus ₹ 2,650",,
,,,Receipts and payments Account for the year ending 31.03.2018,,,
,,,Dr | 0 |  | Cr,,,
,,,Receipts | Amount ₹ | Payments | Amount ₹,,,
,,,To Balance b/d | 0 | By Stationery | 600,,,
,,,Cash in Hand | 200 | By Furniture Purchased  | 7000,,,
,,,Cash at Bank  | 12500 | By Investments in Govt. Securities | 14000,,,
,,,To Locker Rent | 400 | By Expenses of Drama | 3000,,,
,,,To Entrance fees | 2900 | By Postage | 450,,,
,,,To Sale of old newspapers | 250 | By Magazine and Newspaper | 600,,,
,,,To Receipts from Drama | 9000 | By Salaries | 4400,,,
,,,To Legacies | 12000 | By Balance c/d | 0,,,
,,,To Interest of Govt. Securities  | 400 | Cash in Hand | 700,,,
,,,To Miscellaneous Receipts | 400 | Cash at Bank  | 7300,,,
,,, | 38050 |  | 38050,,,
,,,Adjustments :,,,
,,,1. Legacies are to be capitalized,,,
,,,2. Outstanding Salary ₹ 200,,,
,,,3. 50 % of Entrance Fees are to be Capitalised,,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Exercise_Problems,From the following particulars relating to “Radha-Krishna Charitable Hospital” Pune. Prepare Income and Expenditure Account for the year ending 31.03.2020 and Balance Sheet as on that date. (Accounts of a Charitable Hospital),"Ans. : Surplus ₹ 15,820, Total of Balance Sheet ₹ 1,86,910",,
,,,Receipts and payments Account for the year ending 31.03.2020,,,
,,,Dr | 0 |  | Cr,,,
,,,Receipts | Amount ₹ | Payments | Amount ₹,,,
,,,To Balance b/d | 0 | By Medicines Purchased | 41000,,,
,,,Cash | 8230 | By General Expenses | 1050,,,
,,,To Subscriptions | 52000 | By Salaries | 23500,,,
,,,To Donations (General) | 17500 | By Stationery | 2000,,,
,,,To Interest in Investments | 10000 | By Expenses on Charity Show | 550,,,
,,,To Proceeds from Charity Show | 8530 | By Surgery and Dispensary Exp. | 4200,,,
,,, | 0 | By Equipments  | 10000,,,
,,, | 0 | By Balance c/d | 0,,,
,,, | 0 | Cash in Hand | 960,,,
,,, | 0 | Cash at Bank | 13000,,,
,,, | 96260 |  | 96260,,,
,,,Particulars | 01.04.2019 ₹  | 31.03.2020 ₹,,,
,,,1. Subscription Due | 310 | 350,,,
,,,2. Subscription Received in Advance | 600 | 150,,,
,,,3. Stock of Medicines | 8000 | 11000,,,
,,,4. Estimated Value of Equipments | 15000 | ?,,,
,,,5. Buildings | 40000 | ?,,,
,,,6. Capital Fund | 170940 | ?,,,
,,,7. 10 % Investment | 100000 | ?,,,
,,,"Provide Depreciation on Equipments ₹ 1,900 and on Building ₹ 1,500",,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Exercise_Problems,"From the following transactions of Receipts and Payments Account of “Pavan - putra
Hanuma Vyayamshala” Parbhani, and the adjustments given, you are required to prepare Income and Expenditure Account and Balance Sheet as on 31st March 2019.","Ans. : Surplus ₹ 19,395, Total of Balance Sheet ₹ 94, 105",,
,,,Receipts and payments Account for the year ending 31.03.2019,,,
,,,Dr | 0 | 0 |  | 0|Cr,,,
,,,Receipts | Amount ₹ | Amount ₹ | Payments | Amount ₹|Amount ₹,,,
,,,To Balance b/d | 0 | 0 | By Salaries | 0|6000,,,
,,,Cash in Hand | 0 | 5000 | By Entertainment Expenses | 0|2480,,,
,,,To Subscriptions  | 0 | 0 | By Sundry Expenses | 0|1300,,,
,,,2018 - 19 | 18000 | 0 | By Electricity Charges | 0|1200,,,
,,,2019 - 20 | 410 | 18410 | By Rent | 0|700,,,
,,,To Donations | 0 | 6000 | By Investment | 0|15000,,,
,,,To Receipts from Entertainment | 0 | 5400 | By Printing and Stationery | 0|800,,,
,,,"
To Interest | 0 | 400 | By Postage | 0|3200",,,
,,,To Entrance fees | 0 | 6200 | By Fixed Deposit | 0|3900,,,
,,, | 0 | 0 | By Balance c/d | 0|0,,,
,,, | 0 | 0 | Cash in Hand | 830|0,,,
,,, | 0 | 0 | Cash at Bank | 6000|6830,,,
,,, | 0 | 41410 |  | 0|41410,,,
,,,Adjustments :,,,
,,,1. There are 500 members paying an annual Subscription of ₹ 50 each,,,
,,,"2. Outstanding Salary was ₹ 1,200",,,
,,,"3. The Assets on 01.04.2018 were as follows: Building ₹ 50,000, Furniture ₹ 15,000",,,
,,,4. Provide depreciation on Building and Furniture at 5 % and 10 % respectively.,,,
,,,5. 50 % Entrance Fees is to be capitalized.,,,
,,,6. Interest on Investment at 5 % p. a. has accrued for 6 months.,,,
,,,"7. Capital Fund ₹ 70,000 on 01.04.2018",,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Exercise_Problems,“Jeevan Jyoti Art Circle” a newly established concern has presented the following information.,"Ans. : Surplus ₹ 45,340, Total of Balance Sheet ₹ 76,340",,
,,,Receipts and payments Account for the year ending 31.03.2018.,,,
,,,Dr | 0 |  | Cr,,,
,,,Receipts | Amount ₹ | Payments | Amount ₹,,,
,,,To Admission fees | 22000 | By Furniture | 12000,,,
,,,To Subscriptions | 40000 | By Stationery | 4000,,,
,,,To Donations | 18000 | By Office Rent | 2600,,,
,,, | 0 | By Newspapers & Periodicals | 300,,,
,,, | 0 | By Telephone Expenses | 560,,,
,,, | 0 | By Investments | 23000,,,
,,, | 0 | By Balance c/d | 0,,,
,,, | 0 | Cash in Hand | 7540,,,
,,, | 0 | Cash at Bank | 30000,,,
,,, | 80000 |  | 80000,,,
,,,Adjustments :,,,
,,,"1. Subscription Outstanding for the year was ₹ 5,000",,,
,,,2. Depreciate Furniture @ 10 % p.a,,,
,,,3. Full amount of Admission Fees and 50 % Donations are to be capitalized.,,,
,,,You are required to prepare income and Expenditure Account for the year ending 31.03.2018 and Balance Sheet as on that date.,,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Exercise_Problems,Given below is Receipts and Payments Account of “Vithai Mahila Mandal” Pandharpur for the year ending 31.03.2018. Prepare an Income and Expenditure Account for the year ended 31.03.2018 and Balance Sheet as on that date.,"Ans. : Deficit ₹ 6,050, Total of Balance Sheet ₹ 99,450",,
,,,Receipts and payments Account for the year ending 31.03.2018.,,,
,,,Dr | 0 | 0 |  | 0|Cr,,,
,,,Receipts | Amount ₹ | Amount ₹ | Payments | Amount ₹|Amount ₹,,,
,,,To Balance b/d | 0 | 0 | By Stationery  | 0|6000,,,
,,,Cash in Hand | 3000 | 0 | By Repairs to Furniture | 0|950,,,
,,,Cash at Bank | 20000 | 23000 | By Rent | 0|8300,,,
,,,To Entrance Fees | 0 | 3500 | By Salaries | 0|15000,,,
,,,To Subscription | 0 | 19000 | By Miscellaneous Expenses | 0|450,,,
,,,To Miscellaneous Receipts | 0 | 850 | By Balance c/d | 0|0,,,
,,, | 0 | 0 | Cash in Hand | 1650|0,,,
,,, | 0 | 0 | Cash at Bank | 14000|15650,,,
,,, | 0 | 46350 |  | 0|46350,,,
,,,Adjustments :,,,
,,,"1. Capital Fund on 01.04.2017 was ₹ 90,000",,,
,,,"2. Outstanding Subscription ₹ 4,000",,,
,,,3. Entrance Fees are to be capitalized,,,
,,,4. Rent paid includes ₹ 800 paid for April 2018,,,
,,,"5. They have following Assets and Liabilities 01.04.2017 Furniture, ₹ 9,000, Building ₹ 70,000, and Outstanding Expenses ₹ 12,000",,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Exercise_Problems,"From the following Receipts and Payments Account “K.B.P. Engineering College” Nashik for the year ending on 31.03.2019 and additional information, prepare Income andExpenditure Account for the year ending 31.03.2019 and Balance Sheet as on that date.","Ans. : Surplus ₹ 5,59,550, Total of Balance Sheet ₹ 28,81,950",,
,,,Receipts and payments Account for the year ending 31.03.2019.,,,
,,,Dr | 0 |  | Cr,,,
,,,Receipts | Amount ₹ | Payments | Amount ₹,,,
,,,To Balance b/d | 0 | By Salaries to Teaching Staf | 1170000,,,
,,,Cash in Hand | 18000 | By Electricity Charges | 55000,,,
,,,Cash at Bank | 100400 | By Books | 61000,,,
,,,To Interest  | 55000 | By Furniture | 51000,,,
,,,To Subscriptions | 28300 | By Stationery | 21850,,,
,,,To Life Membership fees  | 25000 | By Fixed Deposit (31.03.2019) | 850000,,,
,,,To Donation | 700000 | By Balance c/d | 0,,,
,,,To Tution Fees | 1230000 |       Cash in Hand | 16650,,,
,,,To Term Fees | 200800 |       Cash at Bank | 200000,,,
,,,To Sundry Receipts | 8000 |  | 0,,,
,,,To Admission Fees (Revenue) | 60000 |  | 0,,,
,,, | 2425500 |  | 2425500,,,
,,,Additional Information :,,,
,,,Particulars | 01.04.2018 ₹ | 31.03.2019 ₹,,,
,,,"Books | 6,00,000 | 6,00,000",,,
,,,"Furniture | 3,19,000 | 3,00,000",,,
,,,"Building Fund | 10,00,000 | ?",,,
,,,"Fixed Deposit | 9,10,000 | ?",,,
,,,"Capital Fund | 9,47,400 | ?",,,
,,,1. 50% of Donation are for Building Fund and the balance is to be treated Revenue Income.,,,
,,,"2. Outstanding subscription ₹ 5,300",,,
,,,3. Life membership fees are to capitalised,,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Exercise_Problems,"From the following Balance Sheet and Receipts and Payments Account of “New English School”, Barshi, Prepare Income and Expenditure Account for the year ending 31.03.2020 and a Balance Sheet as on that date. (Account of a School)",,,
,,,Balance Sheet as on 01.04.2019,,,
,,,Liabilities | Amount ₹ | Assets | Amount ₹,,,
,,,"Capital Fund | 6,43,000  | Cash in Hand | 6000",,,
,,, | 0 | Cash at Bank | 10000,,,
,,, | 0 | Building | 450000,,,
,,, | 0 | Furniture | 72000,,,
,,, | 0 | Library Books | 45000,,,
,,, | 0 | Computer Laboratory | 60000,,,
,,, | 643000 |  | 643000,,,
,,,Receipts and Payments Account for the year ending 31.03.2020.,,,
,,,Receipts | Amount ₹ | Amount ₹ | Payments | Amount ₹|Amount ₹,,,
,,,To Balance b/d | 0 | 0 | By Salary | 0|90000,,,
,,,Cash in Hand | 6000 | 0 | By Library Books | 0|14000,,,
,,,Cash at Bank | 10000 | 16000 | By Office Rent | 0|10000,,,
,,,To Tution Fees | 0 | 90000 | By Printing and Stationery | 0|22000,,,
,,,To Term Fees | 0 | 3000 | By Sundry Expenses | 0|12000,,,
,,,To Admission Fees | 0 | 12000 | By Insurance | 0|10200,,,
,,,To Donation (Capital) | 0 | 61000 | By Sport Expenses | 0|8000,,,
,,,To Interest Received | 0 | 2000 | By Annual Gathering Exp. | 0|9000,,,
,,,To Government Grant (Revenue) | 0 | 120000 | By Furniture | 0|50000,,,
,,,To Sundry Receipts | 0 | 11000 | By Repairs | 0|15000,,,
,,, | 0 | 0 | By Balance c/d | 0|0,,,
,,, | 0 | 0 | Cash in Hand | 4800|0,,,
,,, | 0 | 0 | Cash at Bank | 70000|74800,,,
,,, | 0 | 315000 |  | 0|315000,,,
,,,Additional Information :,,,
,,,"1. Outstanding Salary of ₹ 9,000",,,
,,,"2. Outstanding Tution Fees ₹ 15,000",,,
,,,"3. Depreciate Library Books by ₹ 9,000 and Furniture by ₹ 10,000",,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Exercise_Problems,"Following is the Receipts Payments Account of “Dhananjay Library , Mumbai” for the year ending 31.03.2020.  (Account of a Library)","Ans. : Surplus ₹ 300, Balance Sheet Total ₹ 96,300 Capital Fund ₹ 91,000",,
,,,Receipts and payments Account for the year ending 31.03.2020.,,,
,,,Dr | 0 |  | Cr,,,
,,,Receipts | Amount ₹ | Payments | Amount ₹,,,
,,,To Balance b/d | 5000 | By Salaries | 9000,,,
,,,To Admission Fees | 4500 | By Rent | 7500,,,
,,,To Subscriptions | 20000 | By Investments | 6000,,,
,,,To Lecture Hall Hire Charges | 4200 | By Stationery | 1350,,,
,,,To Miscellaneous Income | 250 | By Electricity Charges | 850,,,
,,,To Interest on Investment | 900 | By Books | 5000,,,
,,, | 0 | By Outstanding Expenses (2018 - 19) | 500,,,
,,, | 0 | By Balance c/d | 4650,,,
,,, | 34850 |  | 34850,,,
,,,You are required to prepare an Income and Expenditure Account for the year ended 31.03.2020 and Balance Sheet as on that day.,,,
,,,The following information is also made available to you.,,,
,,,"1. On 31.03.2019, the Library had the following Assets also; Books at ₹ 50,000, Furniture, ₹ 6,500 and Machinery of  ₹ 30,000",,,
,,,2. Subscription received in advance amounted to ₹ 500,,,
,,,3. Outstanding Salaries ₹ 1300 and for Rent ₹ 950,,,
,,,4. 50% of the Admission Fees should be capitalized.,,,
,,,5. Furniture to be depreciated at 10 % p.a.,,,
,,,6. Library Books were purchased on 1st  April 2019 charge Depreciation at 10 % p. a.,,,
,,,7. The Investments were purchased on 01.04.2019 and they carry interest at 20 % p.a.,,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Exercise_Problems,"From the following information supplied to you, prepare Income and Expenditure Account for the year ending on 31.03,2020 and Balance Sheet as on that date for “Morya Sports Club” Thane.","Ans. : Surplus ₹ 84,800, Total of Balance Sheet ₹ 1,59,400",,
,,,Balance Sheet as on 01.04.2019.,,,
,,,Liabilities | Amount ₹ | Assets | Amount ₹,,,
,,,Capital Fund | 64500 | Machinery | 69000,,,
,,,Bank overdraft | 38000 | Outstanding Subscriptions | 8000,,,
,,,Outstanding Salary | 4000 | Prepaid Insurance Premium | 2000,,,
,,, | 0 | Furniture | 15000,,,
,,, | 0 | Cash in Hand | 12000,,,
,,, | 0 | Outstanding Locker’s Rent | 500,,,
,,, | 106500 |  | 106500,,,
,,,Receipts and Payments Account for the year ended 31.03.2020,,,
,,,Dr | 0 |  | Cr,,,
,,,Liabilities | Amount ₹ | Payments | Amount ₹,,,
,,,To Balance b/d | 12000 | By Balance b/d (Bank Overdraft) | 38000,,,
,,,"To Subscription | 1,05,000  | By Salary | 17500",,,
,,,To Entrance Fees (Capitalized) | 9300 | By Insurance Premium | 11000,,,
,,,To Locker Rent | 1500 | By Interest | 1400,,,
,,,To Donations (Capitalized) | 800 | By Refreshment Expenses | 4200,,,
,,, | 0 | By Furniture | 30000,,,
,,, | 0 | By Balance c/d | 0,,,
,,, | 0 | Cash in Hand | 6500,,,
,,, | 0 | Cash at Bank | 20000,,,
,,, | 128600 |  | 128600,,,
,,,Adjustments :,,,
,,,"1. Subscription received includes ₹ 3,000 for 2018 - 19 and Outstanding Subscription for 2019 - 20 was ₹ 14,000.",,,
,,,"2. On 31.03.2020, Prepaid Insurance Premium was ₹ 2,500.",,,
,,,"3. Depreciate Furniture by ₹ 3,000.",,,
,,,4. Locker Rent Outstanding for 2019 - 20 is ₹ 400.,,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Exercise_Problems,Following information has been provided by “Vivekanand Charitable Hospital” Latur. You are required to prepare Income and Expenditure Account for the year ending on 31.03.2019 and Balance Sheet as on that date.,"Ans. : Deficit ₹ 49,100, Balance Sheet Total ₹ 17,40,900",,
,,,Balance Sheet as on 01.04.2018.,,,
,,,Liabilities | Amount ₹ | Assets | Amount ₹,,,
,,,Capital Fund | 1100000 | Building | 1050000,,,
,,,Bank Loan | 650000 | Ambulance | 400000,,,
,,,Outstanding Bill for Drugs | 50000 | Stock of Drugs | 42000,,,
,,, | 0 | Hospital Equipments | 304000,,,
,,, | 0 | Cash in Hand | 4000,,,
,,, | 1800000 |  | 1800000,,,
,,,Receipts and Payments Account for the year ended 31.03.2019,,,
,,,Receipts | Amount ₹ | Payments | Amount ₹,,,
,,,"To Balance b/d | 4000 | By Purchase of Drugs (Includes ₹ 40,000 for 2017 - 18) | 200000",,,
,,,To Subscription | 222000 | By Salary to Staff | 85000,,,
,,,To Life Membership Fees | 30000 | By Honorarium to Doctors | 400000,,,
,,,To Hospital Receipts (Revenue) | 510400 | By Repairs and Maintenance | 18000,,,
,,, | 0 | By Furniture  | 45000,,,
,,, | 0 | By General Expenses | 16000,,,
,,, | 0 | By Balance c/d | 2400,,,
,,, | 766400 |  | 766400,,,
,,,Adjustments :,,,
,,,"1. On 31.03.2019 Stock of Drugs was valued at ₹ 22,000.",,,
,,,"2. Depreciation on Building at 5 % p.a. and on Ambulance ₹ 30,000.",,,
,,,3. Life Membership Fees are to be capitalized.,,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Extra_Practical,"From the following Receipts and Payments account of Dr. Keval Kothari for the year 2015-2016 and the adjustment given below, prepare the Income and Expenditure account and the Balance Sheet for the year 2015-2016.",,,
,,,"Receipt and Payment Account for the year ended 31st March, 2016.",,,
,,,Dr | 0 |  | Cr,,,
